D505
N	51.9018	-8.4582	D505	08 Feb 2026	D505\nCork to Cobh\nExpected Departure 11:00	To Cobh
D555
N	51.9018	-8.4582	D555	08 Feb 2026	D555\nCork to Midleton\nExpected Departure 11:15	To Midleton
A703
N	53.2736	-9.04696	A703	08 Feb 2026	A703\nGalway to Dublin Heuston\nExpected Departure 11:00	To Dublin Heuston
D804
N	53.3531	-6.24591	D804	08 Feb 2026	D804\nDublin Connolly to Drogheda\nExpected Departure 11:10	Northbound
D905
N	53.3531	-6.24591	D905	08 Feb 2026	D905\nDublin Connolly to Maynooth\nExpected Departure 11:17	Northbound
A862
N	53.828	-9.19296	A862	08 Feb 2026	A862\nManulla Junction to Ballina\nExpected Departure 11:08	To Ballina
A403
R	0	0	A403	08 Feb 2026	A403\n10:25 - Limerick to Dublin Heuston (6 mins late)\nDeparted LJ461 next stop Thurles	To Dublin Heuston
A800
R	0	0	A800	08 Feb 2026	A800\n09:42 - Athlone to Westport (3 mins late)\nDeparted Athlone Midland Yard next stop Roscommon	To Westport
D540
R	0	0	D540	08 Feb 2026	D540\n10:48 - Mallow to Cork (1 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
A302
R	52.1396	-8.65521	A302	08 Feb 2026	A302\n08:30 - Dublin Heuston to Tralee (0 mins late)\nDeparted Mallow next stop Banteer	To Tralee
A211
R	52.3468	-8.65362	A211	08 Feb 2026	A211\n10:25 - Cork to Dublin Heuston (3 mins late)\nDeparted Charleville next stop Limerick Junction	To Dublin Heuston
A472
R	52.6404	-8.52719	A472	08 Feb 2026	A472\n10:06 - Limerick Junction to Ennis (2 mins late)\nDeparted Killonan next stop Limerick	To Ennis
A208
R	52.7878	-7.82293	A208	08 Feb 2026	A208\n10:00 - Dublin Heuston to Cork (1 mins late)\nDeparted Templemore next stop Thurles	To Cork
A500
R	52.992	-6.9762	A500	08 Feb 2026	A500\n09:10 - Dublin Heuston to Waterford (0 mins late)\nDeparted Athy next stop Carlow	To Waterford
A702
